# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.775510469058e-01       4.147057794130e+02 
       4.807053331582e-01       4.089305628511e+02 
       4.838596195918e-01       4.033143477343e+02 
       4.870139062030e-01       3.978521876151e+02 
       4.901681929884e-01       3.925378306685e+02 
       4.933224799446e-01       3.873600495383e+02 
       4.964767670685e-01       3.823097166705e+02 
       4.996310543567e-01       3.773765370132e+02 
       5.027853418062e-01       3.725497440842e+02 
       5.059396294140e-01       3.678168269314e+02 
       5.090939171771e-01       3.631630183137e+02 
       5.122482050926e-01       3.585751406176e+02 
       5.154024931577e-01       3.540430134022e+02 
       5.185567813698e-01       3.495613712140e+02 
       5.217110697260e-01       3.451317903150e+02 
       5.248653582239e-01       3.407584163055e+02 
       5.280196468609e-01       3.364469221486e+02 
       5.311739356344e-01       3.322022960070e+02 
       5.343282245420e-01       3.280261031582e+02 
       5.374825135815e-01       3.239193339430e+02 
       5.406368027504e-01       3.198835095660e+02 
       5.437910920466e-01       3.159204655130e+02 
       5.469453814677e-01       3.120335288890e+02 
       5.500996710117e-01       3.082258430555e+02 
       5.532539606764e-01       3.044990301480e+02 
       5.564082504599e-01       3.008502443307e+02 
       5.595625403600e-01       2.972759180945e+02 
       5.627168303747e-01       2.937694327867e+02 
       5.658711205023e-01       2.903243163110e+02 
       5.690254107408e-01       2.869369707723e+02 
       5.721797010883e-01       2.836047492112e+02 
       5.753339915431e-01       2.803265541130e+02 
       5.784882821034e-01       2.771008216028e+02 
       5.816425727674e-01       2.739240367299e+02 
       5.847968635336e-01       2.707927861846e+02 
       5.879511544002e-01       2.677029309824e+02 
       5.911054453657e-01       2.646524190707e+02 
       5.942597364284e-01       2.616426130274e+02 
       5.974140275868e-01       2.586741979698e+02 
       6.005683188394e-01       2.557514372969e+02 
       6.037226101847e-01       2.528750398527e+02 
       6.068769016214e-01       2.500468092170e+02 
       6.100311931478e-01       2.472656794149e+02 
       6.131854847627e-01       2.445293810770e+02 
       6.163397764648e-01       2.418364323444e+02 
       6.194940682526e-01       2.391871859721e+02 
       6.226483601248e-01       2.365821877562e+02 
