# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  139       5.466544450635e-10       1.518818321937e-13      -6.019142450873e-12       8.719914715325e-16       4.455573184146e-12       7.265574637801e-13      -4.721090550510e-15 
  140       5.514107358428e-10       1.519791087383e-13      -6.058535413992e-12       8.853924180541e-16       4.366693204954e-12       7.160779842507e-13      -4.687232111786e-15 
  141       5.561554338788e-10       1.520100166636e-13      -6.095254773143e-12       8.989284512469e-16       4.280065857275e-12       7.056550813409e-13      -4.645660384419e-15 
  142       5.608870924256e-10       1.519746970006e-13      -6.129241890976e-12       9.126004898627e-16       4.195595384902e-12       6.951725845146e-13      -4.591660218913e-15 
  143       5.656044597330e-10       1.518734074526e-13      -6.160439916928e-12       9.264087640817e-16       4.113233439814e-12       6.846463408261e-13      -4.526224899410e-15 
  144       5.703062973465e-10       1.517065014168e-13      -6.188793281042e-12       9.403532902727e-16       4.032936465079e-12       6.741279242613e-13      -4.451934069585e-15 
  145       5.749913164664e-10       1.514744218522e-13      -6.214247543950e-12       9.544340347689e-16       3.954650778713e-12       6.636713009725e-13      -4.371527553154e-15 
  146       5.796581768882e-10       1.511777030197e-13      -6.236749435661e-12       9.686509127994e-16       3.878312341128e-12       6.533328658705e-13      -4.287908201224e-15 
  147       5.843054859428e-10       1.508169722210e-13      -6.256246894338e-12       9.830037874206e-16       3.803846522584e-12       6.431714792173e-13      -4.204144739638e-15 
  148       5.889318356055e-10       1.503929528795e-13      -6.272689209264e-12       9.974924821158e-16       3.731179077546e-12       6.332406833212e-13      -4.122999541617e-15 
  149       5.935359200694e-10       1.499064704492e-13      -6.286027383405e-12       1.012116822207e-15       3.660270744404e-12       6.235644340450e-13      -4.045454891556e-15 
  150       5.981164274937e-10       1.493584503869e-13      -6.296213879635e-12       1.026876595405e-15       3.591085539878e-12       6.141590984992e-13      -3.972050014154e-15 
  151       6.026720020035e-10       1.487499185925e-13      -6.303202558699e-12       1.041771537507e-15       3.523579680388e-12       6.050410597570e-13      -3.903343700664e-15 
